time,dBm
2025-11-13T19:58:14.624215Z,-94.84
2025-11-13T19:58:14.625215Z,-91.70
2025-11-13T19:58:14.626215Z,-91.83
2025-11-13T19:58:14.627215Z,-91.00
2025-11-13T19:58:14.628215Z,-95.97
2025-11-13T19:58:14.629215Z,-90.52
2025-11-13T19:58:14.630215Z,-93.61
2025-11-13T19:58:14.631215Z,-93.21
2025-11-13T19:58:14.632215Z,-91.10
2025-11-13T19:58:14.633215Z,-94.05
2025-11-13T19:58:14.634215Z,-93.41
2025-11-13T19:58:14.635215Z,-94.74
2025-11-13T19:58:14.636215Z,-92.69
2025-11-13T19:58:14.637215Z,-92.88
2025-11-13T19:58:14.638215Z,-90.76
2025-11-13T19:58:14.639215Z,-91.85
2025-11-13T19:58:14.640215Z,-95.14
2025-11-13T19:58:14.641215Z,-93.04
2025-11-13T19:58:14.642215Z,-94.72
2025-11-13T19:58:14.643215Z,-93.69
2025-11-13T19:58:14.644215Z,-91.18
2025-11-13T19:58:14.645215Z,-92.46
2025-11-13T19:58:14.646215Z,-92.75
2025-11-13T19:58:14.647215Z,-92.77
2025-11-13T19:58:14.648215Z,-93.51
2025-11-13T19:58:14.649215Z,-93.07
2025-11-13T19:58:14.650215Z,-91.94
2025-11-13T19:58:14.651215Z,-94.05
2025-11-13T19:58:14.652215Z,-91.70
2025-11-13T19:58:14.653215Z,-92.25
2025-11-13T19:58:14.654215Z,-95.70
2025-11-13T19:58:14.655215Z,-94.36
2025-11-13T19:58:14.656215Z,-93.26
2025-11-13T19:58:14.657215Z,-92.50
2025-11-13T19:58:14.658215Z,-92.98
2025-11-13T19:58:14.659215Z,-94.04
2025-11-13T19:58:14.660215Z,-92.78
2025-11-13T19:58:14.661215Z,-94.13
2025-11-13T19:58:14.662215Z,-94.07
2025-11-13T19:58:14.663215Z,-92.16
2025-11-13T19:58:14.664215Z,-93.50
2025-11-13T19:58:14.665215Z,-91.38
2025-11-13T19:58:14.666215Z,-92.21
2025-11-13T19:58:14.667215Z,-91.95
2025-11-13T19:58:14.668215Z,-92.37
2025-11-13T19:58:14.669215Z,-93.25
2025-11-13T19:58:14.670215Z,-94.43
2025-11-13T19:58:14.671215Z,-95.66
2025-11-13T19:58:14.672215Z,-92.16
2025-11-13T19:58:14.673215Z,-93.88
2025-11-13T19:58:14.674215Z,-92.70
2025-11-13T19:58:14.675215Z,-94.21
2025-11-13T19:58:14.676215Z,-95.49
2025-11-13T19:58:14.677215Z,-92.22
2025-11-13T19:58:14.678215Z,-91.97
2025-11-13T19:58:14.679215Z,-92.96
2025-11-13T19:58:14.680215Z,-94.95
2025-11-13T19:58:14.681215Z,-94.18
2025-11-13T19:58:14.682215Z,-92.35
2025-11-13T19:58:14.683215Z,-94.37
2025-11-13T19:58:14.684215Z,-94.93
2025-11-13T19:58:14.685215Z,-92.56
2025-11-13T19:58:14.686215Z,-96.38
2025-11-13T19:58:14.687215Z,-93.60
2025-11-13T19:58:14.688215Z,-91.84
2025-11-13T19:58:14.689215Z,-95.51
2025-11-13T19:58:14.690215Z,-94.60
2025-11-13T19:58:14.691215Z,-91.61
2025-11-13T19:58:14.692215Z,-90.44
2025-11-13T19:58:14.693215Z,-91.49
2025-11-13T19:58:14.694215Z,-92.08
2025-11-13T19:58:14.695215Z,-93.89
2025-11-13T19:58:14.696215Z,-92.02
2025-11-13T19:58:14.697215Z,-93.04
2025-11-13T19:58:14.698215Z,-93.40
2025-11-13T19:58:14.699215Z,-92.47
2025-11-13T19:58:14.700215Z,-92.34
2025-11-13T19:58:14.701215Z,-90.62
2025-11-13T19:58:14.702215Z,-93.38
2025-11-13T19:58:14.703215Z,-90.57
2025-11-13T19:58:14.704215Z,-92.22
2025-11-13T19:58:14.705215Z,-92.33
2025-11-13T19:58:14.706215Z,-95.23
2025-11-13T19:58:14.707215Z,-91.65
2025-11-13T19:58:14.708215Z,-95.06
2025-11-13T19:58:14.709215Z,-92.57
2025-11-13T19:58:14.710215Z,-94.51
2025-11-13T19:58:14.711215Z,-92.34
2025-11-13T19:58:14.712215Z,-92.15
2025-11-13T19:58:14.713215Z,-92.65
2025-11-13T19:58:14.714215Z,-93.35
2025-11-13T19:58:14.715215Z,-94.14
2025-11-13T19:58:14.716215Z,-92.17
2025-11-13T19:58:14.717215Z,-93.13
2025-11-13T19:58:14.718215Z,-91.90
2025-11-13T19:58:14.719215Z,-91.88
2025-11-13T19:58:14.720215Z,-94.48
2025-11-13T19:58:14.721215Z,-91.98
2025-11-13T19:58:14.722215Z,-92.65
2025-11-13T19:58:14.723215Z,-94.98
2025-11-13T19:58:14.724215Z,-92.78
2025-11-13T19:58:14.725215Z,-94.21
2025-11-13T19:58:14.726215Z,-94.21
2025-11-13T19:58:14.727215Z,-96.11
2025-11-13T19:58:14.728215Z,-92.33
2025-11-13T19:58:14.729215Z,-92.58
2025-11-13T19:58:14.730215Z,-92.05
2025-11-13T19:58:14.731215Z,-94.23
2025-11-13T19:58:14.732215Z,-94.37
2025-11-13T19:58:14.733215Z,-94.53
2025-11-13T19:58:14.734215Z,-91.93
2025-11-13T19:58:14.735215Z,-94.34
2025-11-13T19:58:14.736215Z,-92.50
2025-11-13T19:58:14.737215Z,-94.07
2025-11-13T19:58:14.738215Z,-93.16
2025-11-13T19:58:14.739215Z,-93.05
2025-11-13T19:58:14.740215Z,-91.07
2025-11-13T19:58:14.741215Z,-95.26
2025-11-13T19:58:14.742215Z,-92.25
2025-11-13T19:58:14.743215Z,-95.08
2025-11-13T19:58:14.744215Z,-92.21
2025-11-13T19:58:14.745215Z,-93.47
2025-11-13T19:58:14.746215Z,-93.54
2025-11-13T19:58:14.747215Z,-91.91
2025-11-13T19:58:14.748215Z,-94.06
2025-11-13T19:58:14.749215Z,-92.84
2025-11-13T19:58:14.750215Z,-92.64
2025-11-13T19:58:14.751215Z,-93.85
2025-11-13T19:58:14.752215Z,-91.53
2025-11-13T19:58:14.753215Z,-93.15
2025-11-13T19:58:14.754215Z,-91.97
2025-11-13T19:58:14.755215Z,-91.76
2025-11-13T19:58:14.756215Z,-91.69
2025-11-13T19:58:14.757215Z,-92.41
2025-11-13T19:58:14.758215Z,-91.24
2025-11-13T19:58:14.759215Z,-90.26
2025-11-13T19:58:14.760215Z,-91.99
2025-11-13T19:58:14.761215Z,-93.25
2025-11-13T19:58:14.762215Z,-94.11
2025-11-13T19:58:14.763215Z,-94.15
2025-11-13T19:58:14.764215Z,-93.58
2025-11-13T19:58:14.765215Z,-94.71
2025-11-13T19:58:14.766215Z,-94.71
2025-11-13T19:58:14.767215Z,-93.75
2025-11-13T19:58:14.768215Z,-93.77
2025-11-13T19:58:14.769215Z,-92.88
2025-11-13T19:58:14.770215Z,-92.89
2025-11-13T19:58:14.771215Z,-95.15
2025-11-13T19:58:14.772215Z,-94.19
2025-11-13T19:58:14.773215Z,-94.27
2025-11-13T19:58:14.774215Z,-93.95
2025-11-13T19:58:14.775215Z,-91.66
2025-11-13T19:58:14.776215Z,-94.52
2025-11-13T19:58:14.777215Z,-92.41
2025-11-13T19:58:14.778215Z,-95.17
2025-11-13T19:58:14.779215Z,-94.94
2025-11-13T19:58:14.780215Z,-92.84
2025-11-13T19:58:14.781215Z,-95.09
2025-11-13T19:58:14.782215Z,-93.47
2025-11-13T19:58:14.783215Z,-92.33
2025-11-13T19:58:14.784215Z,-93.23
2025-11-13T19:58:14.785215Z,-93.71
2025-11-13T19:58:14.786215Z,-93.11
2025-11-13T19:58:14.787215Z,-92.81
2025-11-13T19:58:14.788215Z,-91.06
2025-11-13T19:58:14.789215Z,-94.68
2025-11-13T19:58:14.790215Z,-93.22
2025-11-13T19:58:14.791215Z,-91.25
2025-11-13T19:58:14.792215Z,-91.33
2025-11-13T19:58:14.793215Z,-92.39
2025-11-13T19:58:14.794215Z,-94.52
2025-11-13T19:58:14.795215Z,-93.66
2025-11-13T19:58:14.796215Z,-91.37
2025-11-13T19:58:14.797215Z,-94.53
2025-11-13T19:58:14.798215Z,-92.70
2025-11-13T19:58:14.799215Z,-91.20
2025-11-13T19:58:14.800215Z,-93.40
2025-11-13T19:58:14.801215Z,-93.52
2025-11-13T19:58:14.802215Z,-92.55
2025-11-13T19:58:14.803215Z,-93.61
2025-11-13T19:58:14.804215Z,-91.50
2025-11-13T19:58:14.805215Z,-92.59
2025-11-13T19:58:14.806215Z,-91.34
2025-11-13T19:58:14.807215Z,-92.47
2025-11-13T19:58:14.808215Z,-91.90
2025-11-13T19:58:14.809215Z,-94.35
2025-11-13T19:58:14.810215Z,-96.40
2025-11-13T19:58:14.811215Z,-91.52
2025-11-13T19:58:14.812215Z,-91.57
2025-11-13T19:58:14.813215Z,-92.73
2025-11-13T19:58:14.814215Z,-92.48
2025-11-13T19:58:14.815215Z,-91.61
2025-11-13T19:58:14.816215Z,-93.94
2025-11-13T19:58:14.817215Z,-93.16
2025-11-13T19:58:14.818215Z,-94.24
2025-11-13T19:58:14.819215Z,-93.80
2025-11-13T19:58:14.820215Z,-93.83
2025-11-13T19:58:14.821215Z,-91.89
2025-11-13T19:58:14.822215Z,-93.13
2025-11-13T19:58:14.823215Z,-92.91
2025-11-13T19:58:14.824215Z,-93.25
2025-11-13T19:58:14.825215Z,-92.86
2025-11-13T19:58:14.826215Z,-93.40
2025-11-13T19:58:14.827215Z,-93.82
2025-11-13T19:58:14.828215Z,-93.30
2025-11-13T19:58:14.829215Z,-92.00
2025-11-13T19:58:14.830215Z,-90.75
2025-11-13T19:58:14.831215Z,-94.55
2025-11-13T19:58:14.832215Z,-94.02
2025-11-13T19:58:14.833215Z,-90.60
2025-11-13T19:58:14.834215Z,-95.45
2025-11-13T19:58:14.835215Z,-90.91
2025-11-13T19:58:14.836215Z,-91.58
2025-11-13T19:58:14.837215Z,-92.35
2025-11-13T19:58:14.838215Z,-94.23
2025-11-13T19:58:14.839215Z,-92.99
2025-11-13T19:58:14.840215Z,-92.73
2025-11-13T19:58:14.841215Z,-93.71
2025-11-13T19:58:14.842215Z,-93.02
2025-11-13T19:58:14.843215Z,-94.33
2025-11-13T19:58:14.844215Z,-93.33
2025-11-13T19:58:14.845215Z,-92.67
2025-11-13T19:58:14.846215Z,-93.57
2025-11-13T19:58:14.847215Z,-92.71
2025-11-13T19:58:14.848215Z,-94.56
2025-11-13T19:58:14.849215Z,-92.90
2025-11-13T19:58:14.850215Z,-90.79
2025-11-13T19:58:14.851215Z,-92.77
