timestamp,dB
2025-11-17T11:24:35.047594,-2.0420352248333655
2025-11-17T11:24:35.048594,-2.0420352248333655
2025-11-17T11:24:35.049594,-2.0420352248333655
2025-11-17T11:24:35.050594,-2.0420352248333655
2025-11-17T11:24:35.051594,-2.0420352248333655
2025-11-17T11:24:35.052594,-2.0420352248333655
2025-11-17T11:24:35.053594,-2.0420352248333655
2025-11-17T11:24:35.054594,-2.0420352248333655
2025-11-17T11:24:35.055594,-2.0420352248333655
2025-11-17T11:24:35.056594,-2.0420352248333655
2025-11-17T11:24:35.057594,-2.0420352248333655
2025-11-17T11:24:35.058594,-2.0420352248333655
2025-11-17T11:24:35.059594,-2.0420352248333655
2025-11-17T11:24:35.060594,-2.0420352248333655
2025-11-17T11:24:35.061594,-2.0420352248333655
2025-11-17T11:24:35.062594,-2.0420352248333655
2025-11-17T11:24:35.063594,-2.0420352248333655
2025-11-17T11:24:35.064594,-2.0420352248333655
2025-11-17T11:24:35.065594,-2.0420352248333655
2025-11-17T11:24:35.066594,-2.0420352248333655
2025-11-17T11:24:35.067594,-2.0420352248333655
2025-11-17T11:24:35.068594,-2.0420352248333655
2025-11-17T11:24:35.069594,-2.0420352248333655
2025-11-17T11:24:35.070594,-2.0420352248333655
2025-11-17T11:24:35.071594,-2.0420352248333655
2025-11-17T11:24:35.072594,-2.0420352248333655
2025-11-17T11:24:35.073594,-2.0420352248333655
2025-11-17T11:24:35.074594,-2.0420352248333655
2025-11-17T11:24:35.075594,-2.0420352248333655
2025-11-17T11:24:35.076594,-2.0420352248333655
2025-11-17T11:24:35.077594,-2.0420352248333655
2025-11-17T11:24:35.078594,-2.0420352248333655
2025-11-17T11:24:35.079594,-2.0420352248333655
2025-11-17T11:24:35.080594,-2.0420352248333655
2025-11-17T11:24:35.081594,-2.0420352248333655
2025-11-17T11:24:35.082594,-2.0420352248333655
2025-11-17T11:24:35.083594,-2.0420352248333655
2025-11-17T11:24:35.084594,-2.0420352248333655
2025-11-17T11:24:35.085594,-2.0420352248333655
2025-11-17T11:24:35.086594,-2.0420352248333655
2025-11-17T11:24:35.087594,-2.0420352248333655
2025-11-17T11:24:35.088594,-2.0420352248333655
2025-11-17T11:24:35.089594,-2.0420352248333655
2025-11-17T11:24:35.090594,-2.0420352248333655
2025-11-17T11:24:35.091594,-2.0420352248333655
2025-11-17T11:24:35.092594,-2.0420352248333655
2025-11-17T11:24:35.093594,-2.0420352248333655
2025-11-17T11:24:35.094594,-2.0420352248333655
2025-11-17T11:24:35.095594,-2.0420352248333655
2025-11-17T11:24:35.096594,-2.0420352248333655
2025-11-17T11:24:35.097594,-2.0420352248333655
2025-11-17T11:24:35.098594,-2.0420352248333655
2025-11-17T11:24:35.099594,-2.0420352248333655
2025-11-17T11:24:35.100594,-2.0420352248333655
2025-11-17T11:24:35.101594,-2.0420352248333655
2025-11-17T11:24:35.102594,-2.0420352248333655
2025-11-17T11:24:35.103594,-2.0420352248333655
2025-11-17T11:24:35.104594,-2.0420352248333655
2025-11-17T11:24:35.105594,-2.0420352248333655
2025-11-17T11:24:35.106594,-2.0420352248333655
2025-11-17T11:24:35.107594,-2.0420352248333655
2025-11-17T11:24:35.108594,-2.0420352248333655
2025-11-17T11:24:35.109594,-2.0420352248333655
2025-11-17T11:24:35.110594,-2.0420352248333655
2025-11-17T11:24:35.111594,-2.0420352248333655
