time,dBm
2025-11-13T19:58:13.435876Z,-67.80
2025-11-13T19:58:13.436876Z,-62.41
2025-11-13T19:58:13.437876Z,-54.43
2025-11-13T19:58:13.438876Z,-65.73
2025-11-13T19:58:13.439876Z,-57.59
2025-11-13T19:58:13.440876Z,-67.21
2025-11-13T19:58:13.441876Z,-69.88
2025-11-13T19:58:13.442876Z,-68.25
2025-11-13T19:58:13.443876Z,-65.48
2025-11-13T19:58:13.444876Z,-63.19
2025-11-13T19:58:13.445876Z,-61.43
2025-11-13T19:58:13.446876Z,-60.64
2025-11-13T19:58:13.447876Z,-62.43
2025-11-13T19:58:13.448876Z,-70.15
2025-11-13T19:58:13.449876Z,-61.37
2025-11-13T19:58:13.450876Z,-64.41
2025-11-13T19:58:13.451876Z,-58.19
2025-11-13T19:58:13.452876Z,-68.08
2025-11-13T19:58:13.453876Z,-72.84
2025-11-13T19:58:13.454876Z,-73.45
2025-11-13T19:58:13.455876Z,-49.18
2025-11-13T19:58:13.456876Z,-73.38
2025-11-13T19:58:13.457876Z,-66.83
2025-11-13T19:58:13.458876Z,-70.65
2025-11-13T19:58:13.459876Z,-61.68
2025-11-13T19:58:13.460876Z,-76.39
2025-11-13T19:58:13.461876Z,-59.75
2025-11-13T19:58:13.462876Z,-55.66
2025-11-13T19:58:13.463876Z,-67.14
2025-11-13T19:58:13.464876Z,-68.23
2025-11-13T19:58:13.465876Z,-56.12
2025-11-13T19:58:13.466876Z,-74.52
2025-11-13T19:58:13.467876Z,-56.85
2025-11-13T19:58:13.468876Z,-68.07
2025-11-13T19:58:13.469876Z,-62.94
2025-11-13T19:58:13.470876Z,-75.11
2025-11-13T19:58:13.471876Z,-62.28
2025-11-13T19:58:13.472876Z,-63.76
2025-11-13T19:58:13.473876Z,-61.82
2025-11-13T19:58:13.474876Z,-69.19
2025-11-13T19:58:13.475876Z,-64.22
2025-11-13T19:58:13.476876Z,-61.40
2025-11-13T19:58:13.477876Z,-67.64
2025-11-13T19:58:13.478876Z,-69.67
2025-11-13T19:58:13.479876Z,-68.38
2025-11-13T19:58:13.480876Z,-71.66
2025-11-13T19:58:13.481876Z,-63.43
2025-11-13T19:58:13.482876Z,-65.52
2025-11-13T19:58:13.483876Z,-75.82
2025-11-13T19:58:13.484876Z,-68.59
2025-11-13T19:58:13.485876Z,-69.56
2025-11-13T19:58:13.486876Z,-74.53
2025-11-13T19:58:13.487876Z,-69.24
2025-11-13T19:58:13.488876Z,-65.93
2025-11-13T19:58:13.489876Z,-63.79
2025-11-13T19:58:13.490876Z,-61.11
2025-11-13T19:58:13.491876Z,-75.77
2025-11-13T19:58:13.492876Z,-67.35
2025-11-13T19:58:13.493876Z,-58.99
2025-11-13T19:58:13.494876Z,-73.12
2025-11-13T19:58:13.495876Z,-62.45
2025-11-13T19:58:13.496876Z,-67.63
2025-11-13T19:58:13.497876Z,-62.16
2025-11-13T19:58:13.498876Z,-66.22
2025-11-13T19:58:13.499876Z,-62.53
2025-11-13T19:58:13.500876Z,-70.41
2025-11-13T19:58:13.501876Z,-67.12
2025-11-13T19:58:13.502876Z,-63.23
2025-11-13T19:58:13.503876Z,-64.03
2025-11-13T19:58:13.504876Z,-63.89
2025-11-13T19:58:13.505876Z,-62.12
2025-11-13T19:58:13.506876Z,-75.19
2025-11-13T19:58:13.507876Z,-64.80
2025-11-13T19:58:13.508876Z,-65.64
2025-11-13T19:58:13.509876Z,-66.91
2025-11-13T19:58:13.510876Z,-56.56
2025-11-13T19:58:13.511876Z,-64.74
2025-11-13T19:58:13.512876Z,-67.93
2025-11-13T19:58:13.513876Z,-57.48
2025-11-13T19:58:13.514876Z,-66.69
2025-11-13T19:58:13.515876Z,-66.07
2025-11-13T19:58:13.516876Z,-69.54
2025-11-13T19:58:13.517876Z,-73.49
2025-11-13T19:58:13.518876Z,-55.29
2025-11-13T19:58:13.519876Z,-60.52
2025-11-13T19:58:13.520876Z,-65.69
2025-11-13T19:58:13.521876Z,-60.58
2025-11-13T19:58:13.522876Z,-61.55
2025-11-13T19:58:13.523876Z,-58.42
2025-11-13T19:58:13.524876Z,-65.49
2025-11-13T19:58:13.525876Z,-62.61
2025-11-13T19:58:13.526876Z,-62.83
2025-11-13T19:58:13.527876Z,-67.33
2025-11-13T19:58:13.528876Z,-60.73
2025-11-13T19:58:13.529876Z,-65.07
2025-11-13T19:58:13.530876Z,-60.17
2025-11-13T19:58:13.531876Z,-69.64
2025-11-13T19:58:13.532876Z,-67.52
2025-11-13T19:58:13.533876Z,-64.92
2025-11-13T19:58:13.534876Z,-71.46
2025-11-13T19:58:13.535876Z,-59.46
2025-11-13T19:58:13.536876Z,-64.04
2025-11-13T19:58:13.537876Z,-70.59
2025-11-13T19:58:13.538876Z,-71.22
2025-11-13T19:58:13.539876Z,-69.65
2025-11-13T19:58:13.540876Z,-58.03
2025-11-13T19:58:13.541876Z,-65.83
2025-11-13T19:58:13.542876Z,-68.34
2025-11-13T19:58:13.543876Z,-67.91
2025-11-13T19:58:13.544876Z,-68.28
2025-11-13T19:58:13.545876Z,-59.31
2025-11-13T19:58:13.546876Z,-66.40
2025-11-13T19:58:13.547876Z,-61.71
2025-11-13T19:58:13.548876Z,-53.29
2025-11-13T19:58:13.549876Z,-63.40
2025-11-13T19:58:13.550876Z,-69.17
2025-11-13T19:58:13.551876Z,-71.52
2025-11-13T19:58:13.552876Z,-68.02
2025-11-13T19:58:13.553876Z,-71.61
2025-11-13T19:58:13.554876Z,-64.49
2025-11-13T19:58:13.555876Z,-64.51
